acs_met2013,pre_covid_slr,hhinc,pov,college,employed,renter,age25_44,age45_64,commute,density,vacancy,valueh,rooms,bedrooms,valueh_pre,valueh_post,log_value_change,met2013,statefip
"phoenix-mesa-scottsdale, az",.9892199,266511.6013078699,298.28064,.21719868,.45554775,.36215588,.26585296,.24224748,11.003374,3767.11159485802,0,4127620.174645203,5.912395,4.0151124,4148841.956126598,3561888.153257462,-.15253846,"Phoenix-Mesa-Scottsdale, AZ",4
"pittsburgh, pa",.97662407,381292.565076399,326.8447,.27068597,.49412182,.23839308,.24396154,.29285201,12.188539,2255.346628352502,0,2943999.642663699,6.4712892,3.8638248,2956289.631254631,2819199.443717902,-.047482021,"Pittsburgh, PA",42
"pittsfield, ma",.95861232,658475.9260066845,319.69812,.25130281,.51698506,.25767589,.2142767,.31022638,9.7820692,397,0,3477583.435642064,5.8457246,3.6405737,3437105.66146469,3096796.338655216,-.1042616,"Pittsfield, MA",25
"port st. lucie, fl",.96873128,238120.0493099008,284.35806,.2005038,.41302112,.27897647,.18855381,.28847831,10.31501,1434.552833083716,0,3306523.825504716,5.8420625,3.8032417,3348306.155919126,2477887.011343963,-.3010484,"Port St. Lucie, FL",12
"portland-south portland, me",.9892813,328170.3491173879,340.44406,.31440434,.53788596,.23439099,.24021633,.30915019,13.016644,915.4286059488954,0,2906123.578831488,6.0601592,3.7861981,2910947.788734761,2649346.786577624,-.094165616,"Portland-South Portland, ME",23
"portland-vancouver-hillsboro, or-wa",.99912465,264934.2666258896,335.57874,.28351274,.50797683,.33704489,.28890434,.2644265,12.483767,3530.219997081217,0,3874482.763021625,6.1721792,3.9436426,3865694.175973285,3866712.182356324,.00026330908,"Portland-Vancouver-Hillsboro, OR-WA",41
"providence-warwick, ri-ma",.98951644,465080.9175875126,326.7818,.24379572,.50229871,.33866331,.24046199,.29310134,12.26721,3516.745714218785,0,4060095.855861929,5.8285031,3.6891797,4028815.925894693,3734747.878783487,-.075792201,"Providence-Warwick, RI-MA",25
"provo-orem, ut",.9984045,354850.3724871847,288.25723,.20909244,.45404822,.27116361,.26909369,.15586759,8.6807518,2815.113685226327,0,3330332.321969704,7.6929536,4.7899637,3365154.296058954,3134748.849390145,-.070924759,"Provo-Orem, UT",49
"punta gorda, fl",.96745461,307616.2372910819,298.74265,.20819706,.33217016,.22728619,.1326775,.28532615,7.4482694,888.5,0,2823836.485404702,5.3961267,3.6525457,2993339.287396786,2206044.145042012,-.30518866,"Punta Gorda, FL",12
"raleigh, nc",.99742246,316531.3412527317,339.92612,.32312933,.51080585,.31090817,.27992535,.2663188,11.985964,1520.478034398076,0,3611001.480062474,6.5301523,4.0784893,3674999.399863031,3274301.13810426,-.11544852,"Raleigh, NC",37
"reading, pa",.99625748,396419.4359341643,307.00214,.18223962,.4732345,.24434249,.22519687,.27383608,10.778957,2106.795482516322,0,3036680.377391008,6.7874465,4.1242108,3027999.698931141,2967827.771546841,-.02007194,"Reading, PA",42
"reno, nv",.99376988,225341.6229644473,312.14526,.20695125,.50289905,.39740211,.25599259,.26851299,9.7322531,2490.838262236532,0,4378436.226560812,5.7807908,3.9152737,4413915.487402035,4176871.830991037,-.05519956,"Reno, NV",32
"richmond, va",.99732006,399318.1062753164,327.55945,.27067417,.49216351,.30920246,.2601679,.27758881,11.696977,1749.954429543783,0,3698254.551619619,6.685286,4.1016574,3712727.885401257,3473138.419806931,-.066708259,"Richmond, VA",51
"riverside-san bernardino-ontario, ca",.99739742,304711.4951584401,279.56189,.14485453,.41762608,.37506968,.26315656,.24586207,12.632741,3239.243880465351,0,4295259.325014227,5.8314557,4.0465965,4258732.257847012,3785168.796978617,-.11788104,"Riverside-San Bernardino-Ontario, CA",6
"roanoke, va",.98293126,353513.3349137155,296.47842,.2008106,.45671257,.26846507,.22634399,.29289049,10.53104,1096.503073222624,0,3263009.769909186,6.3627481,3.9358335,3237793.26915783,3096956.675434024,-.044472095,"Roanoke, VA",51
"rochester, ny",.99310285,522526.8537473154,309.09644,.2488234,.482627,.27638766,.23583186,.28051916,9.6688766,2235.232917777507,0,3421763.159065578,6.3489976,3.8490844,3404689.959383574,3248737.226919277,-.046887506,"Rochester, NY",36
"rockford, il",.97803396,239240.2464991029,286.86935,.15358117,.45294344,.32953215,.2366232,.26777557,9.9330492,1417.757299389233,0,3679951.568788323,6.3810654,3.9096792,3585842.149620711,3095329.470922931,-.147099,"Rockford, IL",17
"rocky mount, nc",.9749558,236387.1790078373,248.95618,.13136604,.44139582,.33027613,.22705694,.28869492,9.3702002,283.3000000000002,0,3943601.920117138,5.7991238,3.8304939,3832351.604530872,3914617.291059682,.02123896,"Rocky Mount, NC",37
