acs_met2013,pre_covid_slr,hhinc,pov,college,employed,renter,age25_44,age45_64,commute,density,vacancy,valueh,rooms,bedrooms,valueh_pre,valueh_post,log_value_change,met2013,statefip
"akron, oh",.98015475,322883.752838599,304.7973,.23112983,.49206716,.29684809,.23370086,.28959242,10.598121,1918.266495712946,0,3391187.240481202,6.5967827,3.9540265,3363488.220397808,3121558.784689051,-.074646108,"Akron, OH",39
"albany-schenectady-troy, ny",.98677933,498697.9588623564,337.3407,.28287423,.51013541,.31373569,.23886231,.28433356,11.03082,1791.160535070834,0,3758386.725563509,6.2617359,3.8467298,3639203.222787831,3459368.531776713,-.050678696,"Albany-Schenectady-Troy, NY",36
"albuquerque, nm",.98608321,201754.2178556019,287.96835,.23441532,.45720229,.29153061,.26474395,.26316947,10.170887,2687.427330986428,0,3316169.054248761,5.9076476,3.9487703,3281020.335329094,2965397.46998981,-.10114338,"Albuquerque, NM",35
"allentown-bethlehem-easton, pa-nj",.97758716,351862.6928385505,322.13678,.20814228,.48880425,.28607142,.23897269,.2817829,12.761364,2633.260233585057,0,3437238.128963772,6.522995,4.0108309,3437930.657245278,3276882.919313989,-.047977097,"Allentown-Bethlehem-Easton, PA-NJ",34
"amarillo, tx",.98276955,483815.9682082693,288.3302,.16150737,.478499,.32942936,.27437291,.23214161,8.8964443,1386.967271155405,0,3897393.165556783,5.5293961,3.7414739,3942258.585622544,3588753.718727564,-.093948819,"Amarillo, TX",48
"anchorage, ak",.9963761,390432.3354831759,354.4429,.22037323,.50177276,.29730311,.28996301,.26313066,9.2332172,1468.895806609925,0,3564111.120635377,5.8590345,3.8865826,3561594.170018959,3128874.678981823,-.12953483,"Anchorage, AK",2
"ann arbor, mi",.99530333,688135.8381704792,324.66446,.40003362,.52067119,.31740487,.26361018,.24949996,11.838863,2503.306434711804,0,4063458.842979108,6.3618627,3.8601043,4153135.925573501,3996131.640709449,-.038536891,"Ann Arbor, MI",26
"anniston-oxford-jacksonville, al",.97503173,382387.6032981675,266.23178,.14188325,.42109585,.27765206,.24365737,.26691064,9.4792747,364.7999999999998,0,3475637.853389428,6.1093669,3.8396091,3547086.614539476,3041617.067625834,-.15373729,"Anniston-Oxford-Jacksonville, AL",1
"asheville, nc",.97460973,309649.301554994,292.3334,.24758705,.46705064,.26040217,.23286891,.28974602,8.9504938,479.584591632901,0,3275963.853963313,5.8167572,3.7184942,3300515.956988764,3166109.410316112,-.041575287,"Asheville, NC",37
"atlanta-sandy springs-roswell, ga",.98949349,263080.1009550865,317.51447,.26619789,.49375924,.34660399,.27807906,.2673285,14.395446,1897.382429552193,0,3912179.032688295,6.9266262,4.25735,3951235.768126457,3376448.875692318,-.15720385,"Atlanta-Sandy Springs-Roswell, GA",13
"atlantic city-hammonton, nj",.97006702,326636.3330228343,303.85974,.19404933,.4626562,.30840111,.22690769,.28549129,10.48583,1500.677951209685,0,3545847.063173972,6.4812274,3.8668211,3508758.476132833,3150904.220405051,-.1075728,"Atlantic City-Hammonton, NJ",34
"augusta-richmond county, ga-sc",.98176295,368442.2850849314,278.10425,.18930171,.43978444,.31187162,.26118261,.26477656,9.9111385,798.3908874123964,0,3785308.933779878,6.4610481,4.0428395,3764828.040379819,3282246.029553599,-.13717423,"Augusta-Richmond County, GA-SC",13
"austin-round rock, tx",.99112433,331142.500869024,336.78296,.3006402,.53192061,.35532609,.31969222,.23996596,12.842671,2292.33769142558,0,4096189.230150792,5.8970337,3.9060051,4133757.342902097,3912604.178882245,-.054983579,"Austin-Round Rock, TX",48
"bakersfield, ca",.99636424,448905.4411795093,245.72243,.10601167,.39308369,.41130373,.27450204,.23099306,8.3954105,2364.969319661696,0,4742510.988850044,5.2783103,3.8342848,4716250.859766996,4306752.723260241,-.090829983,"Bakersfield, CA",6
"baltimore-columbia-towson, md",.99502152,367277.3272209751,354.89758,.29411659,.51404935,.30203438,.26600781,.27771536,14.784874,4324.29245465025,0,3629811.473235944,6.8292413,4.0122008,3644277.592793449,3336002.300198932,-.088384978,"Baltimore-Columbia-Towson, MD",24
"bangor, me",.97357285,529848.730535708,288.96591,.16756473,.4782545,.24190861,.22572236,.29678994,9.8630371,204.5,0,3037880.61062354,5.618187,3.6557875,2979942.021782961,3255292.185479674,.088378191,"Bangor, ME",23
"barnstable town, ma",.97355151,258477.1932903031,364.17828,.35747984,.48602551,.19995303,.18152419,.31605923,9.2242031,663.2457146274577,0,2699303.19210749,6.2224751,3.9568961,2613659.60697496,2421846.739639413,-.076221026,"Barnstable Town, MA",25
"baton rouge, la",.98209769,376611.8994996978,303.14981,.18829741,.46736026,.29856762,.27166626,.255312,11.613172,1226.619596924782,0,3628098.184309022,5.7484674,3.8734145,3621627.324925686,3311589.54280724,-.089495167,"Baton Rouge, LA",22
"beaumont-port arthur, tx",.98233819,584382.8060008264,276.87109,.12339888,.42575514,.29627225,.25887835,.26424721,9.0787401,1070.166662517085,0,3799069.39800767,5.4820313,3.6529608,3766706.139436588,3468608.050558953,-.082447544,"Beaumont-Port Arthur, TX",48
"bellingham, wa",.9983241,340676.1745161368,303.94214,.22387616,.48285365,.35356349,.24329768,.2564511,10.281533,667.7000000000007,0,4257110.542596713,5.8946052,3.8471782,4189467.836815645,3780534.879681684,-.10270821,"Bellingham, WA",53
"bend-redmond, or",.99051237,163467.949230638,326.96765,.24563269,.4825052,.2992349,.25905743,.27004182,7.538394,447.1000000000003,0,3593423.460388521,5.7385817,3.8711054,3480201.600534877,2537926.626425614,-.31574276,"Bend-Redmond, OR",41
"binghamton, ny",.9688319,581370.260938899,284.37546,.2161677,.43511048,.2846764,.21789601,.28271201,7.3868513,1730.070562635582,0,3590420.786892475,6.2453618,3.8149998,3504777.023001072,3202712.046623345,-.090128936,"Binghamton, NY",36
"birmingham-hoover, al",.98601079,308586.4296538226,301.25412,.22099619,.45887846,.25212327,.2545636,.27368906,11.334637,991.9516102852946,0,3107714.927556036,6.4947672,4.0251865,3097498.656989183,3058076.20173958,-.012808875,"Birmingham-Hoover, AL",1
"blacksburg-christiansburg-radford, va",.98531783,813010.6112743819,270.05341,.2464264,.49258059,.33669811,.22443764,.2378709,9.2818489,342.5999999999997,0,4387571.286559519,6.1663046,3.7424181,4439292.579111856,4290372.213873294,-.034121543,"Blacksburg-Christiansburg-Radford, VA",51
"bloomington, il",.9666779,541358.4381423421,315.42004,.29883635,.50647926,.28101146,.26237246,.2447924,8.7488909,1045,0,3537012.099438687,6.4289298,3.9395227,3564977.849043039,3522745.850860755,-.011917084,"Bloomington, IL",17
"boston-cambridge-newton, ma-nh",.99645662,490559.3136121772,361.54526,.34924954,.53679383,.31443781,.26437128,.27981237,15.59664,6538.192164186828,0,3947158.571485028,6.1111517,3.7908249,3940944.31393279,3953141.367054154,.0030901774,"Boston-Cambridge-Newton, MA-NH",25
"bremerton-silverdale, wa",1.0028651,358023.5205665562,331.33795,.22968794,.47304228,.31573913,.25585729,.26720449,13.873096,1148.410506394997,0,3708311.987757273,6.4619207,3.9728279,3666432.29580469,3371112.416245842,-.083976276,"Bremerton-Silverdale, WA",53
"bridgeport-stamford-norwalk, ct",.97229683,365942.7768749477,366.87219,.34641626,.50659412,.3009899,.23984458,.29949814,14.21147,3707.843938889753,0,3794328.767381083,6.6620026,4.0472341,3784794.390506044,3585408.369051125,-.054119185,"Bridgeport-Stamford-Norwalk, CT",9
"buffalo-cheektowaga-niagara falls, ny",.99119204,366630.507812815,312.85312,.23418929,.47441205,.27980176,.23534468,.28478521,9.7560053,3334.863787185772,0,3322164.899737221,6.3636756,3.9313221,3277894.782005405,3253637.006147078,-.0074279322,"Buffalo-Cheektowaga-Niagara Falls, NY",36
"burlington-south burlington, vt",.99463117,605388.1534144501,338.9068,.31312016,.55105168,.25919166,.25860688,.27106678,11.747222,507.1999999999996,0,3386845.358644595,6.3277683,3.7934823,3320148.364594431,3715344.260344036,.11246187,"Burlington-South Burlington, VT",50
"canton-massillon, oh",.9816252,306759.2297416752,299.82916,.17431797,.4770765,.25418869,.22781418,.28425103,9.9058285,1403.006877939687,0,3026557.783847036,6.6065936,3.9867127,2972751.24528763,3001329.199293712,.0095673874,"Canton-Massillon, OH",39
"cape coral-fort myers, fl",.96649373,263962.1416471878,308.56793,.24667299,.41424337,.30558965,.18755032,.28049725,9.9663582,1449.498715501996,0,3545966.290466795,5.6241894,3.7665756,3655031.097407501,3139318.948193781,-.15209872,"Cape Coral-Fort Myers, FL",12
"champaign-urbana, il",.97357726,935912.2909434664,277.70065,.30040705,.50249505,.36356828,.2604554,.20938714,8.2729568,1278.399999999997,0,4657947.729745227,5.2769394,3.4115474,4746614.606400651,4736632.146069991,-.002105284,"Champaign-Urbana, IL",17
"charleston-north charleston, sc",.98516554,340227.4870206949,312.71762,.2679666,.49260625,.28277159,.28767115,.25908944,12.018821,1095.848589775896,0,3520104.42040918,6.2909436,4.0275769,3589398.701237101,3067220.851785605,-.15721281,"Charleston-North Charleston, SC",45
"charlotte-concord-gastonia, nc-sc",.98793292,255385.9854441399,311.66,.24089421,.49065447,.31513223,.27398977,.27212471,11.938475,1372.406242642015,0,3646318.669410948,6.44976,4.0546241,3685768.893077889,3380311.024029834,-.086511433,"Charlotte-Concord-Gastonia, NC-SC",37
"chattanooga, tn-ga",.98521852,428904.1935121002,296.87936,.20672417,.47502866,.27971414,.26225221,.28496292,10.237765,951.1721113253762,0,3393764.742716423,6.1849995,3.8274701,3434404.430470171,3375721.54732231,-.017234435,"Chattanooga, TN-GA",13
"chicago-naperville-elgin, il-in-wi",.97726858,275182.2158016805,327.8746,.2703045,.49860242,.3163836,.27312487,.26847693,14.790775,7404.68284711572,0,3634509.067130754,6.2907171,3.917413,3634986.252541863,3318281.005655657,-.09115845,"Chicago-Naperville-Elgin, IL-IN-WI",17
"chico, ca",.99956739,416843.4611428379,271.75815,.18283771,.41235307,.38610351,.22715792,.2542783,7.7914515,1051.822173576264,0,4480067.036386643,5.4622831,3.6645916,4643927.750659171,4431956.273953253,-.046719424,"Chico, CA",6
"cincinnati, oh-ky-in",.9825561,323471.3608218696,322.70609,.23196653,.49198112,.28392732,.25031781,.26986808,11.318983,2020.612845858479,0,3342942.146933295,6.5924859,3.9760563,3368614.961315339,3049660.648936518,-.099471346,"Cincinnati, OH-KY-IN",21
"clarksville, tn-ky",.99401045,448732.8603437921,259.4451,.1428117,.43531743,.36613372,.28256205,.22409466,10.282052,487.1591812618686,0,4313890.973545214,6.0758061,3.9553947,4266414.322122545,4094568.785532259,-.04111233,"Clarksville, TN-KY",21
"cleveland-elyria, oh",.97907722,306931.0894509309,309.34113,.22477628,.48408908,.2956354,.23554882,.28520456,11.139912,3152.790391102983,0,3447327.894636386,6.5717449,3.9997239,3444123.414986764,3262671.710340858,-.054123018,"Cleveland-Elyria, OH",39
"coeur d'alene, id",1,197162.8952245392,291.67197,.19245605,.41709486,.35413137,.23226817,.26135507,8.0794888,667.3999999999999,0,3903692.7771333,6.5009394,4.1560459,3772371.034215675,3048193.730982788,-.21315452,"Coeur d'Alene, ID",16
"college station-bryan, tx",.98132437,756751.5273398777,248.1725,.24561857,.46597442,.46210596,.25654161,.16916651,7.6126399,1703.5,0,5448878.261691895,5.4388399,3.7021868,5492023.364581718,5371017.078450505,-.022279451,"College Station-Bryan, TX",48
"colorado springs, co",.9996922,356221.707289874,316.79153,.26765272,.50343037,.34503946,.27875832,.24825746,10.355458,2523.644009186093,0,3959343.262570435,6.7390194,4.2431421,3933280.948445903,3615944.478317013,-.08412084,"Colorado Springs, CO",8
"columbia, sc",.97868234,527438.9480041096,288.40384,.23371653,.4812724,.28174961,.2630032,.2607263,11.090057,1049.799095475169,0,3576305.105975137,6.2456245,3.9335153,3551093.051814633,3222001.863102711,-.097252592,"Columbia, SC",45
"columbus, oh",.99521446,358154.4211474931,315.90054,.26700467,.50721818,.35865539,.2830525,.26043344,11.26722,2608.067964709822,0,4104301.699057466,6.3369589,3.9037185,4128790.496714404,3873428.335398315,-.063844517,"Columbus, OH",39
"corpus christi, tx",.97869945,459453.2670274861,277.04904,.13820989,.43670133,.34865549,.25532833,.24426502,8.0943031,2645.023478822986,0,4129556.695200553,5.2577896,3.6825972,4135252.312365185,3701570.644980748,-.11079112,"Corpus Christi, TX",48
"dallas-fort worth-arlington, tx",.99359542,215990.0186085665,316.16003,.23512067,.5007624,.35971224,.2864075,.25041848,13.252592,3270.981082472432,0,3977664.930196672,6.1318679,3.9697165,3993958.684527815,3802418.372937102,-.049145613,"Dallas-Fort Worth-Arlington, TX",48
"dayton, oh",.98731017,421628.6289697227,297.02487,.1954487,.47194076,.33349627,.23996243,.2704376,9.6822777,1853.144966154304,0,3899528.430140283,6.3092875,3.9004934,3893613.619334439,3484931.988090314,-.11088915,"Dayton, OH",39
"decatur, il",.95780754,432965.4259503583,276.43726,.16184328,.40646386,.2986854,.22073941,.26009208,6.8160315,723.8999999999986,0,3526759.575891035,6.265512,3.930758,3510802.514497709,3165323.290739383,-.10358945,"Decatur, IL",17
"deltona-daytona beach-ormond beach, fl",.97412872,228991.2103972986,287.59418,.19900605,.40611312,.27495301,.19391443,.29556677,10.174998,1214.283056528866,0,3185395.278834878,5.9159007,3.8732674,3223209.122099088,2876001.019055465,-.11397669,"Deltona-Daytona Beach-Ormond Beach, FL",12
"denver-aurora-lakewood, co",.99884319,229125.6079423743,348.79269,.30903015,.53110677,.32119456,.29994485,.25940511,13.08883,3995.944926492489,0,3692752.157406066,6.6269894,4.0765934,3696943.808733649,3577893.595910074,-.032732233,"Denver-Aurora-Lakewood, CO",8
"des moines-west des moines, ia",.98731482,325057.5253507241,338.91129,.25335646,.53259951,.25601563,.2781699,.25044897,9.8383074,1633.543535014759,0,3012307.473100192,6.4852328,3.9858956,2993153.109694586,2725104.760726634,-.093820512,"Des Moines-West Des Moines, IA",19
"detroit-warren-dearborn, mi",.98563957,208321.0010464843,316.52234,.22466297,.47276589,.27876395,.25005049,.29173258,11.863585,3418.602655699718,0,3173744.581123446,6.4886508,4.001895,3198067.773608224,2801085.24044732,-.13253988,"Detroit-Warren-Dearborn, MI",26
"dover, de",.99415982,383222.7764465924,297.91788,.15965451,.45696411,.31396767,.24562463,.25782663,11.231347,550.2000000000008,0,3802522.141608747,6.3769813,4.020546,3699157.836702493,2742971.223822346,-.29906347,"Dover, DE",10
"erie, pa",.96698439,544725.4211500548,276.67166,.19480102,.46626872,.28131801,.23725082,.27509311,8.6055059,2604.396690763042,0,3519787.475553121,6.0549178,3.8140125,3498175.102554169,3297068.62341852,-.059207655,"Erie, PA",42
"eugene, or",.99869788,297421.9485052202,275.07068,.20829642,.45707697,.39225984,.24374904,.2529707,8.8642216,2266.853389984492,0,4448248.897938476,5.8095961,3.8036282,4474175.734434355,4162691.258799026,-.072160341,"Eugene, OR",41
"fayetteville, nc",.98901498,424399.564173026,250.60541,.17224836,.45178455,.4218958,.28407338,.23281668,9.2297125,1582.844331316805,0,4891768.31356675,5.9487038,3.828068,4861346.474499651,4751758.127181956,-.02280077,"Fayetteville, NC",37
"flagstaff, az",.98167455,1153521.412973833,247.93146,.22490248,.45917371,.30459347,.21428409,.2394138,6.914371,158.8000000000005,0,4539478.821403416,5.0566516,3.4269247,4543835.724207788,4630829.152720204,.018964406,"Flagstaff, AZ",4
"fort collins, co",.99716556,379282.7702443551,327.10797,.34037116,.521429,.30745748,.25982061,.25282091,10.898333,1363.439522424995,0,3630827.368317352,6.6021681,4.0517783,3683297.963809972,3832281.218480547,.039651707,"Fort Collins, CO",8
"fresno, ca",.99796724,248576.2239289764,251.66521,.13147227,.40217406,.4478426,.26200604,.22259201,8.54109,3352.203697609606,0,4938831.907062516,5.5262876,3.9009001,4914858.128658979,4706943.513459019,-.043224126,"Fresno, CA",6
"gainesville, fl",.9760499,900381.656847417,261.96985,.29469451,.47584587,.39535078,.26740876,.2371178,9.6234245,1598.9068193308,0,5073781.694614002,5.1409645,3.5394611,5246878.428187518,4687898.828781421,-.11264884,"Gainesville, FL",12
"gainesville, ga",.983657,154431.129113924,281.45432,.16229615,.46935531,.34993228,.24914925,.26403296,11.611292,636.9000000000001,0,3908303.175560789,6.5294909,4.0707388,3923908.787959768,3280749.063272392,-.17901653,"Gainesville, GA",13
"glens falls, ny",.97712988,403085.1213778203,308.73688,.18986164,.47279677,.23568371,.22545394,.31161341,10.479395,215.7999999999998,0,3013065.501333776,6.1511116,3.8572984,3013507.540317792,2725451.417931575,-.10047062,"Glens Falls, NY",36
"goldsboro, nc",.98327613,352080.7226391173,262.98172,.1318959,.40684965,.38432017,.25019702,.261042,8.5966196,337.7999999999998,0,4648831.001105058,5.8377366,3.9165895,4598973.575287499,4115167.10827546,-.1111537,"Goldsboro, NC",37
"grand junction, co",.9915365,305014.4653690926,278.99271,.19196719,.45531181,.35102037,.23781084,.26387352,7.1948476,1770.8,0,3988352.478754394,5.8187575,3.8477249,3927522.462183853,2906884.445999291,-.30092695,"Grand Junction, CO",8
"grand rapids-wyoming, mi",.99610955,326628.6822773426,318.04352,.23784341,.51381254,.24709563,.26874939,.24911071,9.9460926,1858.942579464373,0,2940422.672706492,6.8000627,4.0770302,2907165.011163873,2716959.268685699,-.067665048,"Grand Rapids-Wyoming, MI",26
"greensboro-high point, nc",.98375833,359165.2037375007,272.60648,.20102783,.46007812,.3290295,.24840228,.27428097,9.9134493,1225.678031579511,0,3933780.276600216,5.9735274,3.8436005,3947996.85403765,3477337.88115907,-.12694129,"Greensboro-High Point, NC",37
"greenville, nc",.98713958,468883.356353412,272.51154,.21266262,.46239588,.38504207,.24037866,.23547442,9.2429314,697.9,0,4441412.027497952,5.702745,3.7221911,4515709.18011611,4597837.865570525,.018023917,"Greenville, NC",37
"greenville-anderson-mauldin, sc",.98605126,335447.4641456743,290.86984,.21149027,.46220607,.29798192,.24590862,.26446176,10.179515,784.9977732936298,0,3566337.172830105,6.312161,3.9540033,3553229.275938815,2908710.331256746,-.20014705,"Greenville-Anderson-Mauldin, SC",45
"harrisburg-carlisle, pa",.99221843,467051.8740876783,330.99112,.24572599,.50544733,.28419852,.24779557,.28716347,10.690103,1560.111036845137,0,3481442.373742748,6.417892,3.9062524,3450607.725779219,3207190.273231665,-.07315512,"Harrisburg-Carlisle, PA",42
"harrisonburg, va",.98319113,747179.6362018135,280.48987,.18970272,.48419011,.29068094,.22095694,.23820914,8.7801476,495.7000000000005,0,4287093.511526633,6.2227688,3.8371887,4409263.565551844,4262055.813894837,-.033956055,"Harrisonburg, VA",51
"hartford-west hartford-east hartford, ct",.9831419,520231.3051139529,350.73663,.28459507,.51376289,.28404573,.23959437,.29450685,11.609094,2402.003324997954,0,3583064.121510907,6.0252047,3.7849669,3605255.649873528,3360394.616718411,-.070334271,"Hartford-West Hartford-East Hartford, CT",9
"hickory-lenoir-morganton, nc",.9799459,281564.3175710302,262.12308,.12483123,.43378404,.2940101,.22634053,.28799608,9.2809057,365.4174774073388,0,3553119.06799726,5.7768502,3.8065581,3547036.44228931,2888067.540224151,-.20552485,"Hickory-Lenoir-Morganton, NC",37
"hilton head island-bluffton-beaufort, sc",.96754563,414304.6148950393,323.70978,.30180487,.45351338,.28104866,.219162,.23957555,9.9799347,418.4000000000008,0,3503745.608867593,5.9998369,3.8434155,3714021.265360355,3398396.656738481,-.088811442,"Hilton Head Island-Bluffton-Beaufort, SC",45
"homosassa springs, fl",.9638719,268935.3583692487,270.47797,.16218211,.30747429,.1547583,.14126189,.3030169,7.3467908,349.4000000000002,0,2030283.867186954,5.7552552,3.6690972,2110001.955822453,1922898.801481795,-.092855036,"Homosassa Springs, FL",12
"houston-the woodlands-sugar land, tx",.98005068,212970.5815104618,306.80261,.21950561,.47443897,.35305977,.29261845,.24713224,13.393398,3475.206585103802,0,3943317.243434365,6.0993576,3.9962227,3947716.879230911,3765131.386648085,-.04735465,"Houston-The Woodlands-Sugar Land, TX",48
"huntsville, al",.98996294,372656.365307646,314.98993,.26427802,.49745962,.27590677,.25813702,.28229403,10.417777,1084.045518031567,0,3449505.918329151,6.6974373,4.0604095,3414845.900305276,3015141.387711322,-.12448564,"Huntsville, AL",1
"indianapolis-carmel-anderson, in",.98875093,284060.1185656262,315.7963,.24668938,.50729674,.310029,.27359462,.27069485,11.876981,1750.809441344864,0,3526117.261014732,6.6007414,3.9797542,3534623.954543523,3120609.597367524,-.12457855,"Indianapolis-Carmel-Anderson, IN",18
"iowa city, ia",.98576021,693177.3651251092,292.74954,.36061108,.53075832,.35473803,.27976808,.18476836,9.4835491,924.7999999999997,0,4397070.70151333,6.1981192,3.9598653,4386709.611757551,3847506.838916162,-.13115406,"Iowa City, IA",19
"ithaca, ny",.97490698,1478629.374566658,249.74925,.33351213,.44914624,.3552165,.22394732,.22101697,6.7522326,564.0999999999996,0,5161789.126044244,5.48137,3.4105752,5308632.46364502,4847977.346994424,-.090772688,"Ithaca, NY",36
"jackson, mi",.98533005,702591.6416126672,287.72748,.14284867,.43755066,.20522878,.23698245,.28577644,10.156369,515.3999999999996,0,2870479.982841021,6.3428631,3.7800381,2847402.902812671,2643241.252252349,-.074401408,"Jackson, MI",26
"jackson, ms",.97687972,462806.2208686545,279.95621,.20603374,.44484437,.27280822,.27147356,.25486955,10.509962,850.5322402196251,0,3614383.371789705,5.8202548,3.8756697,3619935.949442119,3378708.810754667,-.068962701,"Jackson, MS",28
"jacksonville, fl",.98002636,306173.3576998065,308.13583,.22429408,.48114917,.3227846,.26575705,.27092323,12.297891,1779.188163051196,0,3758935.432564311,6.1866074,4.0126605,3789622.105033283,3519103.535890077,-.074060023,"Jacksonville, FL",12
"janesville-beloit, wi",.99201345,298714.8285575235,296.41867,.1652998,.48912537,.25485528,.23407936,.28560156,10.533465,746.0999999999984,0,2955921.254250219,6.3702507,3.9269588,2880831.295667527,2928560.093551517,.016431971,"Janesville-Beloit, WI",55
"joplin, mo",.97801602,273993.4896190615,272.88861,.14167821,.46680775,.29539761,.24939185,.26357976,8.006671,375.1999999999998,0,3455872.845271109,6.0959339,3.9092596,3451250.301096542,3278699.096102333,-.051289845,"Joplin, MO",29
"kalamazoo-portage, mi",.98686188,328143.639346435,294.16251,.22066034,.50109208,.280999,.23632619,.27596527,9.4503412,1091.140517264234,0,3273926.991867548,6.4941788,4.0240765,3223011.469222737,2760171.227600004,-.15502344,"Kalamazoo-Portage, MI",26
"kankakee, il",.97717541,622979.9342540951,299.11533,.13174577,.48360503,.25393879,.24129948,.27606249,10.886041,543.8000000000005,0,3321270.666171773,5.9339514,3.6907861,3487510.645010272,3234310.257476526,-.07537251,"Kankakee, IL",17
"kansas city, mo-ks",.99628067,268526.5206633605,327.77304,.25999865,.51076967,.30535954,.26852974,.26573208,10.926939,1806.281887951888,0,3502492.911333923,6.5976782,4.0456133,3477865.202847932,3283932.747234858,-.057376947,"Kansas City, MO-KS",20
"knoxville, tn",.98340249,316402.565014617,285.40594,.20729323,.45791522,.27436432,.24082933,.28200212,10.128739,843.4644476376986,0,3382433.755928435,6.21275,3.8706028,3372042.447817819,3085495.700823922,-.088806301,"Knoxville, TN",47
"lafayette, la",.97694647,258529.0899965753,279.5452,.14947854,.44747347,.24478343,.25301701,.27023232,10.18017,742.9296633180574,0,3148890.808744027,5.7717571,3.8736668,3221302.747828578,3187511.986004907,-.010545187,"Lafayette, LA",22
"lake havasu city-kingman, az",.97945917,260070.092029661,266.50882,.087239206,.34627637,.29862222,.18568705,.27568552,6.958147,221,0,3557596.916275964,5.325417,3.6945839,3507321.806966768,3051370.645796438,-.13926184,"Lake Havasu City-Kingman, AZ",4
"lakeland-winter haven, fl",.9839294,288228.0849964474,268.84073,.15586948,.41089541,.31107897,.22855367,.26035658,9.824358,1039.137539879906,0,3560446.60371214,5.8380442,3.8009696,3549320.16933398,3343756.861916804,-.059661102,"Lakeland-Winter Haven, FL",12
"lancaster, pa",.9945913,301509.1208106047,314.31268,.17585973,.49546319,.28628188,.23526931,.25973004,10.847786,1606.104890423089,0,3327197.393070032,6.5922656,4.0677795,3315897.381024508,3089574.592295724,-.070694879,"Lancaster, PA",42
"lansing-east lansing, mi",.99416029,552726.4508615321,297.01642,.24340951,.48995888,.3018586,.23946215,.25547823,10.011763,1493.963636103597,0,3677625.564835493,6.2000985,3.8212533,3667459.402371217,3184197.696812549,-.1412988,"Lansing-East Lansing, MI",26
"las cruces, nm",.97901475,319062.4363860701,234.54732,.16878544,.40691444,.36074692,.24214147,.22457604,8.1204901,962.5350696350425,0,4059014.61267178,5.5320048,3.8210084,4126442.730626548,3597249.726991978,-.13724612,"Las Cruces, NM",35
"las vegas-henderson-paradise, nv",.99308264,200029.0649182652,293.50259,.1691332,.46940789,.45358631,.2801162,.25414228,10.870313,5010.584063375144,0,4871407.222314178,5.7556906,3.9719148,4882501.105359553,4405918.979656549,-.10270875,"Las Vegas-Henderson-Paradise, NV",32
"lawrence, ks",.99301118,861381.1146655247,303.12692,.34989157,.56399769,.36987263,.25555333,.22080289,11.750041,1224.300000000001,0,4735196.388742096,5.9653225,3.7420778,4591611.522330195,4914684.368356863,.06799648,"Lawrence, KS",20
"lebanon, pa",.99198824,346769.7621274943,320.72226,.15932424,.50847876,.26202047,.22785974,.27460974,11.42699,835.899999999999,0,3166040.343850831,6.3522067,3.8969946,3237547.833387333,2797344.54650719,-.14614561,"Lebanon, PA",42
"little rock-north little rock-conway, ar",.98147464,279673.9905592062,295.17035,.22026075,.4742181,.33751363,.26052701,.25723696,9.9989767,964.2382373095377,0,3863108.211708679,6.0377574,3.8934956,3855492.344639522,3559626.901637493,-.079842977,"Little Rock-North Little Rock-Conway, AR",5
"los angeles-long beach-anaheim, ca",.9971348,280431.9404184513,303.10727,.24423771,.48752102,.4830237,.2842285,.26341107,13.765266,10472.19626964673,0,5465497.394243541,5.1747961,3.60009,5470655.448287961,5436908.841625208,-.0061877635,"Los Angeles-Long Beach-Anaheim, CA",6
"louisville/jefferson county, ky-in",.98860377,304748.4264164064,310.66986,.21188672,.48478004,.29239938,.2563158,.28005043,10.725816,2040.040468477982,0,3424984.21446082,6.3453116,3.9595778,3442251.849505977,3018271.324575254,-.13144161,"Louisville/Jefferson County, KY-IN",18
"lynchburg, va",.97751862,609506.0009250963,286.48776,.21135119,.45092198,.25634336,.1957579,.27933326,9.9503031,432.9043712886755,0,3467089.902006459,6.2259483,3.8334868,3442555.300543834,3117762.774093324,-.099098332,"Lynchburg, VA",51
"madera, ca",.98487186,575132.7132644458,242.36066,.083466299,.36746353,.40240666,.23980796,.24409312,8.7063665,488.6999999999996,0,4745478.35506797,5.3318863,3.8424668,4646666.206332126,4160076.871185961,-.11061647,"Madera, CA",6
"manchester-nashua, nh",.99826491,257806.7912852531,352.78491,.27212733,.54794657,.35412773,.25463602,.30244988,13.306112,2289.477878062365,0,3955811.503699189,6.1141543,3.8266704,3944300.251060765,3516752.412024879,-.11473361,"Manchester-Nashua, NH",33
"mcallen-edinburg-mission, tx",.9726854,169076.7642322303,210.37506,.11614106,.36731148,.28207406,.25789192,.19258732,7.1639981,1680.675346721114,0,3426257.211427721,5.3164167,3.9063275,3370399.784596149,3258942.364152492,-.033628654,"McAllen-Edinburg-Mission, TX",48
"medford, or",.98954582,238825.6652839136,294.43738,.21559466,.43542245,.35309622,.2395058,.27496317,6.9695597,1270.310385623361,0,3960802.670170972,5.7662649,3.7598102,3970388.049743735,3482952.457649246,-.13098349,"Medford, OR",41
"memphis, tn-ms-ar",.99047983,270220.4625282044,285.03409,.20056699,.46774444,.3951101,.2650755,.26283911,10.856246,2077.531333761879,0,4420685.708138039,6.2926712,4.0183353,4414611.068117909,4031680.654198085,-.090736412,"Memphis, TN-MS-AR",28
